model,resource_class,job_s,image_ensure_s,proof_step_s,lease_wait_s,lease_hold_s,projection_s,configure_s,scratch_build_s,dso_s,cpp_tests_s,python_tests_s,e2e_s,engine_build_s,result_verification_s,html_report_s
albert,shared,321.0,125.0,185.0,1.029,179.34,1.104,9.556,35.029,1.251,6.734,26.095,96.754,62.373,0.166,0.209
bark,exclusive_gpu,1080.0,28.0,1041.0,462.945,572.226,1.004,8.594,40.851,1.742,6.844,7.169,501.536,334.983,0.235,0.25
bart,shared,416.0,26.0,380.0,131.945,242.779,1.368,11.446,40.756,1.355,0.114,28.067,156.033,118.802,0.187,0.222
bert,shared,314.0,137.0,167.0,0.035,161.267,1.04,9.671,32.4,1.272,6.226,3.671,104.17,69.938,0.166,0.194
bloom,shared,450.0,27.0,411.0,23.883,382.116,1.083,8.773,43.963,1.238,0.12,111.929,211.167,158.171,0.173,0.183
canary,shared,1274.0,29.0,1234.0,730.699,497.775,1.142,9.484,35.943,1.409,5.678,3.901,436.734,356.994,0.246,0.304
chronos_bolt,shared,295.0,133.0,151.0,0.022,145.767,1.042,9.277,36.904,1.334,0.119,1.232,92.781,47.007,0.198,0.233
codegen,shared,556.0,38.0,506.0,35.962,465.705,1.186,9.848,43.969,1.377,0.125,140.952,264.181,216.498,0.186,0.258
convbert,shared,335.0,106.0,218.0,0.042,212.157,1.141,8.891,38.78,1.361,7.307,3.78,147.969,112.62,0.218,0.217
deberta,shared,354.0,114.0,230.0,0.03,224.305,1.112,9.59,37.804,1.462,6.478,28.9,136.038,100.809,0.208,0.22
deepseek_ocr,shared,3477.0,139.0,3327.0,2379.796,942.42,1.306,11.543,36.705,1.478,16.389,1.41,868.489,769.553,0.184,0.306
deepseek_v2,shared,285.0,143.0,132.0,0.02,126.937,1.019,8.419,44.278,1.176,0.104,3.057,66.202,32.29,0.207,0.215
distilbert,shared,313.0,142.0,161.0,0.028,155.263,1.08,10.025,31.521,1.312,6.683,26.897,74.902,43.421,0.176,0.204
